time_sec	pepi_cmH20
0.00116	17.92073822
0.00516	17.67109871
0.00916	17.52547646
0.01316	17.75431252
0.01716	17.85832787
0.02116	17.504673
0.02516	17.77511597
0.02916	17.85832787
0.03316	17.58788681
0.03716	17.69190216
0.04116	17.81672096
0.04516	17.60868835
0.04916	17.69190216
0.05316	17.94154167
0.05716	17.62949181
0.06116	17.56708336
0.06516	17.83752441
0.06916	17.75431252
0.07316	17.54627991
0.07716	17.81672096
0.08116	17.71270561
0.08516	17.48386955
0.08916	17.71270561
0.09316	17.79591751
0.09716	17.504673
0.10116	17.73350906
0.10516	17.79591751
0.10916	17.4630661
0.11316	17.65029526
0.11716	17.81672096
0.12116	17.56708336
0.12516	17.54627991
0.12916	17.77511597
0.13316	17.56708336
0.13716	17.4630661
0.14116	17.69190216
0.14516	17.69190216
0.14916	17.35905075
0.15316	17.62949181
0.15716	17.65029526
0.16116	17.3382473
0.16516	17.48386955
0.16916	17.65029526
0.17316	17.31744385
0.17716	17.42146111
0.18116	17.65029526
0.18516	17.35905075
0.18916	17.35905075
0.19316	17.62949181
0.19716	17.44226265
0.20116	17.25503349
0.20516	17.60868835
0.20916	17.48386955
0.21316	17.2966404
0.21716	17.42146111
0.22116	17.52547646
0.22516	17.31744385
0.22916	17.44226265
0.23316	17.62949181
0.23716	17.3798542
0.24116	17.35905075
0.24516	17.62949181
0.24916	17.35905075
0.25316	17.35905075
0.25716	17.65029526
0.26116	17.3798542
0.26516	17.2966404
0.26916	17.60868835
0.27316	17.56708336
0.27716	17.2966404
0.28116	17.48386955
0.28516	17.56708336
0.28916	17.42146111
0.29316	17.52547646
0.29716	17.56708336
0.30116	17.19262505
0.30516	17.35905075
0.30916	17.62949181
0.31316	17.3798542
0.31716	17.40065765
0.32116	17.52547646
0.32516	17.31744385
0.32916	17.31744385
0.33316	17.56708336
0.33716	17.52547646
0.34116	17.2134285
0.34516	17.42146111
0.34916	17.56708336
0.35316	17.23423195
0.35716	17.504673
0.36116	17.60868835
0.36516	17.31744385
0.36916	17.3382473
0.37316	17.60868835
0.37716	17.42146111
