x0000	y0000
0	0.531033928
0.040517	0.496796845
0.080997	0.529118567
0.121546	0.372298358
0.162007	0.395043274
0.202572	0.31675288
0.243021	0.380199224
0.28351	0.319386502
0.32392	0.452982954
0.364275	0.343328518
0.404757	0.416351669
0.447516	0.34572272
0.488613	0.307654913
0.529039	0.290895502
0.569591	0.345004459
0.610318	0.260728561
0.650847	0.180283385
0.691402	0.214520469
0.732063	0.237504805
0.772195	0.228885679
0.81289	0.242532628
0.853388	0.131681091
0.893881	0.157059629
0.934426	0.093852705
0.974875	0.096246907
1.015352	0.149637604
1.055657	0.149398184
1.096197	0.162326873
1.136697	0.133835873
1.1771	0.182917007
1.217879	0.168312377
1.258347	0.121146604
1.298935	0.126174428
1.339389	0.141257898
1.379847	0.099119949
1.420516	0.125216747
1.463364	0.138863696
1.504362	0.118273562
1.544609	0.128089789
1.585076	0.089303722
1.625434	0.098880529
1.665951	0.059615621
1.706244	0.056263739
1.746599	0.052672437
1.787049	0.044532151
1.827693	0.034237084
1.868285	0.047884033
1.908992	0.01388637
1.94945	0.016041151
1.989914	-0.062728084
2.03038	-0.004548983
2.071077	-0.064882865
2.111611	-0.044771571
2.152303	-0.038307227
2.192798	-0.026336218
2.233251	-0.024899697
2.273768	0.037349546
2.314934	-0.08690952
2.355339	-0.082599957
2.395776	-0.118512982
2.436272	-0.228646259
2.476683	-0.361763871
2.517117	-0.426646736
2.557323	-0.467108744
2.597797	-0.579157382
2.638359	-0.664151541
2.678788	-0.791283649
2.719233	-0.772130035
2.759678	-0.853054052
2.800141	-0.998860933
2.840477	-0.82264769
2.883733	-0.930865606
2.924482	-1.059194814
2.964928	-0.986650504
3.00571	-1.047463226
3.045871	-1.074996545
3.08633	-0.876277808
3.12696	-0.971327614
3.167397	-0.891600698
3.207788	-0.686417616
3.248249	-0.670376465
3.288671	-0.739329473
3.329161	-0.661278499
3.369723	-0.592564911
3.410213	-0.645237347
3.450698	-0.536301172
3.491024	-0.470939467
3.531468	-0.524330164
3.57202	-0.521217701
3.61271	-0.395043274
3.653221	-0.381156904
3.693821	-0.38905777
3.734337	-0.324653745
3.774532	-0.279642754
3.815082	-0.25929204
3.85544	-0.183395847
3.898237	-0.180043965
3.939089	-0.191536133
3.979504	-0.183874688
4.020097	-0.126892688
4.060639	-0.11563994
4.101298	-0.108217915
4.141831	-0.082121117
4.182392	-0.069192428
4.22296	-0.091937344
4.263435	-0.087627781
4.303977	-0.098641108
4.344436	-0.111569797
4.384789	-0.120188923
4.425199	-0.240856687
4.465946	-0.162087452
4.506268	-0.103908352
4.546847	-0.111090957
4.587324	-0.131920512
4.627735	-0.081402856
4.668309	-0.221463654
4.708876	-0.246842191
4.749404	-0.15873557
4.789857	-0.004309563
4.830604	0.155383688
4.871173	0.223139595
4.913996	0.508049592
4.954913	0.752258162
4.995262	0.90907837
5.035808	0.996227311
5.076266	1.028309613
5.116682	1.121444058
5.157581	1.107797108
5.198019	1.090798276
5.23852	1.130781444
5.278894	1.093431898
5.319504	1.043632504
5.359875	0.989523546
5.400366	1.091516537
5.440663	1.058237134
5.481072	0.882263312
5.521626	0.983059202
5.561942	0.994072529
5.602468	0.918655177
5.64298	0.904289967
5.683449	0.900938085
5.723678	0.823605371
5.764042	0.817141027
5.804388	0.841083043
5.844647	0.767341632
5.885282	0.799902775
5.925713	0.758483086
5.966163	0.624886633
6.006503	0.594240852
6.04705	0.57748144
6.087668	0.505415971
6.130452	0.464475122
6.171508	0.486980618
6.211998	0.459686719
6.252508	0.478361492
6.293048	0.407732543
6.333513	0.373974299
6.37384	0.370382997
6.414254	0.287543619
6.454833	0.301908829
6.495225	0.270065947
6.535907	0.166875856
6.576328	0.141736738
6.617122	0.193930335
6.657442	0.141018478
6.697989	0.111809218
6.73847	0.174058461
6.77891	0.113245739
6.819459	0.135751234
6.859967	0.111330377
6.900535	0.088106621
6.940978	0.074938512
6.981448	0.033039983
7.021851	0.051235916
7.062354	-0.001197101
7.102913	0.010295067
7.145576	0.024181437
7.186486	0.034476504
7.22708	0.01484405
7.267474	0.01484405
7.307895	0.001197101
7.348344	-0.038546647
7.388793	-0.033997664
7.429254	-0.151074125
7.469844	-0.218351191
7.510287	-0.343807358
7.550734	-0.406535442
7.59113	-0.53294929
7.631552	-0.659841978
7.672027	-0.718978759
7.712378	-0.608127222
7.752941	-0.696712683
7.793348	-0.846110867
7.834012	-0.945949076
7.87426	-1.033098016
7.914563	-1.057758293
7.954969	-1.124077679
7.996009	-1.125753621
8.036437	-1.122162318
8.076801	-1.151132158
8.117233	-1.176031855
8.157744	-1.063264957
8.198219	-1.02352121
8.238637	-1.005564697
8.279081	-0.896149681
8.319675	-0.844195505
8.360203	-0.77835496
8.400822	-0.70652891
8.441439	-0.609084902
8.481861	-0.567425794
8.522061	-0.514992777
8.565141	-0.513077416
8.60591	-0.525287844
8.646352	-0.419942971
8.686902	-0.386663568
8.727274	-0.38977603
8.767784	-0.350032283
8.80826	-0.358651409
8.848776	-0.437181223
8.889194	-0.401507618
8.929578	-0.328484468
8.970082	-0.249954653
9.010504	-0.270305367
9.051165	-0.251870015
9.09151	-0.174776721
9.131998	-0.175734402
9.172292	-0.205183082
9.212545	-0.162326873
9.252971	-0.14413094
9.293446	-0.106781394
9.334032	-0.090979663
9.374212	-0.050996495
9.414512	-0.032082302
9.454798	0.003591302
9.495094	-0.016280571
9.535588	0.053390697
9.578306	0.05746084
9.619498	0.094810386
9.659918	0.231998141
9.700387	0.328005627
9.740921	0.414675728
9.781429	0.535582911
9.821829	0.391212551
9.86232	0.491050761
9.902806	0.733104548
9.943365	0.755610044
9.983802	0.789368287
10.024324	0.903571707
10.064755	0.891121858
10.10509	1.039562361
10.145583	1.183453881
10.186161	1.161906066
10.226869	1.048899747
10.26745	1.154484041
10.307921	1.071644663
10.348451	1.120007537
10.388803	1.278024846
10.429154	0.987608185
10.46977	0.973721815
10.510337	0.868616362
10.550973	0.906923589
10.593913	0.860236657
10.634689	0.830309136
10.6751	0.761834968
10.715583	0.695036742
10.75596	0.609803163
10.79643	0.639012423
10.83783	0.482910475
10.878097	0.411323845
10.918606	0.445800349
10.958958	0.392170232
10.999322	0.421140072
11.03959	0.311964476
11.079945	0.287304199
11.120456	0.313879838
11.160868	0.221463654
11.201296	0.257855519
11.241891	0.239899006
11.282394	0.175973822
11.322799	0.181959326
11.363146	0.209971486
11.403783	0.176692083
11.4444	0.186029469
11.484776	0.146046301
11.525136	0.136469495
11.565454	0.106302554
11.605661	0.145567461
11.646079	0.107499655
11.686532	0.131202251
11.726952	0.084994159
11.767352	0.109175596
11.810032	0.108217915
11.850909	0.093852705
11.891407	0.095528646
11.931794	0.049081134
11.971957	0.0581791
12.012386	0.059376201
12.053015	0.02873042
12.093478	0.096965167
12.133859	0.079966335
12.174256	0.096965167
12.21473	0.05770026
12.255203	0.026336218
12.295623	-0.049559974
12.336111	-0.083797058
12.376661	-0.162566293
12.417101	-0.185550629
12.457449	-0.290895502
12.497883	-0.385227047
12.538261	-0.450349332
12.578671	-0.637815322
12.619515	-0.633026919
12.659946	-0.758004246
12.700548	-0.777397279
12.740878	-0.841801304
12.781663	-0.909557211
12.824413	-0.943794294
12.865474	-0.960074866
12.906659	-1.008677159
12.947103	-0.963905588
12.987797	-1.018253966
13.028238	-0.858800136
13.068928	-0.96677863
13.109458	-0.988805286
13.149924	-0.988565866
13.190272	-0.973961235
13.23095	-0.873883606
13.271433	-0.919612858
13.312072	-0.876517228
13.352581	-0.814507405
13.393081	-0.754412943
13.433558	-0.725203683
13.473872	-0.632548079
13.514276	-0.607887802
13.554679	-0.549948121
13.595048	-0.515950458
13.635453	-0.503500609
13.676538	-0.404620081
13.716933	-0.43287166
13.75715	-0.339737216
13.797422	-0.344046779
13.838039	-0.293050283
13.878466	-0.262165082
13.918968	-0.229843359
13.959411	-0.23104046
13.999811	-0.232955822
14.039988	-0.200873519
14.080373	-0.231519301
14.12088	-0.193690914
14.161172	-0.139342537
14.202091	-0.198958158
14.245179	-0.104147772
14.286159	-0.1151611
14.326631	-0.130723411
14.36718	-0.095049806
14.407581	-0.094092125
14.44836	-0.080445176
14.488791	-0.109893856
14.529202	-0.088106621
14.56985	-0.117555302
14.610327	-0.116597621
14.650969	-0.091937344
14.691623	-0.079726915
14.732307	-0.137427175
14.772833	-0.04261679
14.813331	-0.029688101
14.854014	0.030645781
14.894414	0.08643068
14.934814	0.136708915
14.975242	0.219308872
15.015656	0.246842191
15.056103	0.353144745
15.096573	0.46112324
15.137047	0.660799658
15.177593	0.465193383
15.218164	0.770214674
15.261142	0.72113354
15.302277	0.789847128
15.342754	0.72137296
15.383271	0.609084902
15.423697	0.520260021
15.464103	0.480516273
15.504492	0.395761534
15.544775	0.322259544
15.585284	0.3466804
15.625987	0.238941326
15.666583	0.282036956
15.706969	0.256418998
15.747394	0.24492683
15.787969	0.17357962
15.828453	0.194888015
15.869048	0.192014973
15.909639	0.185550629
15.950181	0.290656082
15.990686	0.287304199
16.031271	0.227927998
16.071675	0.238462485
16.112408	0.171903679
16.153222	0.145328041
16.194004	0.177170923
16.234549	0.17310078
16.277508	0.146285721
16.318703	0.146046301
16.359334	0.118034142
16.399902	0.102711251
16.440257	0.070868369
16.480811	0.096486327
16.522026	0.056024319
16.562496	-0.004548983
16.603179	-0.031364042
16.643689	0.025378538
16.684136	0.090500823
16.724546	0.108696755
16.764956	0.080924016
16.805203	0.055784899
16.845724	0.069910688
16.886332	0.030645781
16.926755	0.062488663
16.967235	0.016759412
17.0077	-0.003351882
17.048214	-0.004309563
17.088676	0.004309563
17.129226	-0.005985504
17.169763	0.039504327
17.210259	0.028012159
17.250715	0.016280571
17.291257	-0.006703765
17.331641	-0.049320554
17.37229	-0.073980831
17.412678	-0.076135613
17.453376	-0.107978495
17.496029	-0.2018312
17.536936	-0.241574948
17.577277	-0.325132585
17.617739	-0.36080619
17.658154	-0.38881835
17.698677	-0.453222374
17.739054	-0.351708224
17.779563	-0.358651409
17.820156	-0.390973131
17.860772	-0.508289013
17.901282	-0.584185205
17.941825	-0.621295331
17.982394	-0.657926616
18.023013	-0.720175859
18.063874	-0.789368287
18.104494	-0.787213506
18.144795	-0.750821641
18.18538	-0.773327136
18.225931	-0.803254657
18.266657	-0.695036742
18.307092	-0.777636699
18.347588	-0.707965431
18.388208	-0.729752666
18.428765	-0.715866296
18.469451	-0.565031592
18.512522	-0.637575902
18.553604	-0.622013591
18.594153	-0.575566079
18.634969	-0.517147559
18.675553	-0.502782349
18.716038	-0.414675728
18.756524	-0.431195719
18.797048	-0.38905777
18.83766	-0.405817181
18.87813	-0.323217224
18.918752	-0.293529124
18.959378	-0.221463654
19.000058	-0.240856687
19.040648	-0.315555779
19.081305	-0.257855519
19.121711	-0.23127988
19.162375	-0.21619641
19.203001	-0.145806881
19.243725	-0.154904847
19.284275	-0.153468326
19.324791	-0.096965167
19.365897	-0.108936176
19.406226	-0.128808049
19.446662	-0.093134445
19.487226	-0.036391865
19.527747	-0.068234747
19.568383	-0.04333505
19.608925	-0.041419689
19.649337	-0.081402856
19.689757	-0.068713588
19.730211	-0.066558806
19.770775	-0.069671268
19.811213	-0.036870706
19.852564	-0.047165773
19.892927	-0.038307227
19.935953	-0.094810386
19.976849	-0.065361705
20.017208	0.002394202
20.057613	0.060094462
20.098104	0.045729252
20.138666	0.05722142
20.179119	0.069910688
20.219758	0.108696755
20.260257	0.180043965
20.300867	0.163523973
20.34151	0.0581791
20.382047	0.021068975
20.422443	0.119470663
20.463223	0.223857855
20.503932	0.284670577
20.544344	0.27413609
20.584859	0.293768544
20.6253	0.353623585
20.665847	0.284909998
20.706193	0.367509955
20.746688	0.520738861
20.787212	0.468784685
20.827638	0.421379492
20.868242	0.565989273
20.908818	0.542047256
20.951784	0.673010087
20.99275	0.621774171
21.033623	0.686417616
21.073931	0.650983431
21.114536	0.474291349
21.154966	0.43311108
21.195609	0.445800349
21.236303	0.27341783
21.277004	0.433350501
21.317535	0.338779535
21.358123	0.327287367
21.398679	0.263122763
21.439265	0.257137258
21.479968	0.279163914
21.520674	0.165439335
21.56117	0.132638772
21.601806	0.270065947
21.642769	0.221942494
21.683401	0.113724579
21.723862	0.163284553
21.764392	0.119470663
21.804841	0.078769235
21.845378	0.089064302
21.886036	0.076614453
21.92663	0.041659109
21.969768	0.105823713
22.010813	0.017717092
22.05152	0.007900865
22.092146	-0.003112462
22.13269	0.020829554
22.173134	0.052433016
22.214392	0.015801731
22.254959	-0.044532151
22.295334	-0.009576807
22.335868	-0.006464344
22.376364	-0.02873042
22.416879	-0.026336218
22.457298	-0.090500823
22.498019	-0.04261679
22.538498	-0.083078798
22.579009	-0.062009823
22.619663	-0.013646949
22.660244	-0.020590134
22.70095	-0.004548983
22.741462	0.037110126
22.782068	0.005027823
22.822513	-0.0581791
22.863185	-0.032561143
22.903888	-0.04333505
22.944397	-0.008379706
22.98499	-0.023942017
23.025505	0.022505496
23.066051	-0.034476504
23.106558	-0.053390697
23.147132	0.002394202
23.190069	-0.036870706
23.231132	-0.068234747
23.27154	-0.009576807
23.312032	-0.047405193
23.352509	-0.038546647
23.393138	-0.049320554
23.433736	0.006224924
23.474216	-0.02825158
23.514599	-0.019632454
23.555133	0.004309563
23.595625	-0.039264907
23.636312	-0.030406361
23.676978	0.016280571
23.717465	-0.01484405
23.757948	0.016519991
23.798473	-0.039264907
23.838972	-0.00023942
23.879553	-0.02920926
23.92009	-0.022984336
23.961285	-0.062728084
24.00197	-0.009576807
24.042923	-0.065840546
24.083721	-0.102232411
24.12415	-0.351947644
24.164764	-0.987847605
24.207953	-0.744596716
24.249124	-1.388397543
24.289663	-1.765723724
24.330322	-1.926135236
24.371016	-2.084870806
24.411794	-2.074815159
24.452649	-2.052309663
24.493436	-2.041056915
24.533945	-1.87418106
24.574489	-1.916079589
24.615089	-1.698925498
24.655872	-1.613213079
24.696534	-1.610100616
24.737129	-1.574905852
24.777803	-1.497812559
24.818469	-1.45687171
24.859319	-1.610818877
24.900079	-1.624465826
24.940671	-1.694137095
24.981331	-1.786074438
25.021833	-1.880166564
25.063199	-1.820311522
25.103984	-1.77362459
25.144443	-1.739626926
25.185033	-1.540429348
25.22556	-1.473870542
25.266641	-1.435323895
25.307049	-1.35607582
25.347764	-1.344823073
25.388311	-1.325908879
25.428976	-1.203565175
25.469796	-1.218409225
25.510345	-1.175792435
25.552044	-1.097502041
25.593865	-1.001255134
25.643044	-1.073799445
25.683646	-0.92320416
25.724143	-0.780030901
25.764985	-0.641167205
25.80543	-0.608127222
25.846334	-0.470460626
25.88702	-0.521217701
25.927646	-0.536780012
25.968469	-0.25953146
26.009209	-0.161129772
26.049921	-0.109893856
26.090693	-0.107499655
26.131427	-0.047405193
26.171986	-0.063925184
26.212638	-0.048362874
26.253469	-0.084994159
26.293903	-0.008619126
26.334583	-0.022744916
26.375479	0.001915361
26.41628	-0.046926353
26.457093	-0.012210428
26.497776	-0.011971008
26.538325	-0.123061965
26.578951	-0.12928689
26.619753	-0.047405193
26.663674	0.269826527
26.705466	0.336864174
26.746216	0.526006105
26.787015	0.640448944
26.827569	0.594959113
26.868336	0.596635054
26.909015	0.753455263
26.951129	0.85042043
26.997669	0.848265648
27.038237	0.817380447
27.079102	0.698388624
27.119911	0.566946953
