x0000,y0000,x0001,y0001
0,0.05377429687,0,-0.1193407699,
0.2121920586,-0.01767581055,0.1792190075,-0.1199835464,
0.418735981,-0.04804833008,0.3724160194,-0.120676456,
0.6247341633,-0.05327638672,0.5514030457,-0.1213184008,
0.8320841789,-0.0739396582,0.7305409908,-0.1219608868,
1.043186188,-0.1478793164,0.9096090794,-0.1226031221,
1.254927158,-0.6156659082,1.08874321,-0.123245595,
1.460690022,-1.757124941,1.281597137,-0.1239372734,
1.666907072,-2.35660877,1.460621119,-0.1245793514,
1.894347191,-2.536354336,1.639533997,-0.1252210299,
2.122277975,-2.307813574,1.818258047,-0.1258620312,
2.328583002,-1.955791094,2.009735107,-0.1265487727,
2.534476042,-1.650323213,2.190041065,-0.1271954477,
2.740570068,-1.287844619,2.381467104,-0.1278820056,
2.947458029,-0.9522531738,2.572492123,-0.1285671256,
3.156180143,-0.694833623,2.749991179,-0.1292037331,
3.387098074,-0.5200671582,2.928897142,-0.1298453873,
3.609391212,-0.2320261328,3.107014179,-0.1304842122,
3.818510056,-0.03858803711,3.285482168,-0.1311242953,
4.027788162,0.03560057617,3.463986158,-0.1317645079,
4.235372066,0.3714409766,3.643580198,-0.1324086292,
4.45909214,1.177059609,3.823340178,-0.1330533465,
4.67357707,1.286599844,4.003246069,-0.1336985873,
4.88638711,1.477797344,4.196171999,-0.1343905246,
5.10008812,1.302035059,4.376139164,-0.1350359842,
5.310043097,1.068515195,4.556266069,-0.1356820175,
5.522312164,0.8738323242,4.736628056,-0.1363288937,
5.73707509,0.7515953809,4.932520151,-0.1370314695,
5.948324203,0.5252952148,5.113088131,-0.1376790842,
6.15617609,0.3898636523,5.292560101,-0.1383227678,
6.364386082,0.1722769141,5.472131014,-0.1389668072,
6.572977066,0.02912774414,5.651516199,-0.1396101797,
6.779616117,-0.06696891602,5.831414223,-0.1402553916,
6.985702038,-1.06776833,6.01327014,-0.1409076266,
7.199773073,-1.991640625,6.21038413,-0.1416145843,
7.424978018,-2.734522578,6.389902115,-0.1422584336,
7.67891407,-2.383246963,6.569495201,-0.1429025522,
7.901679039,-1.999109277,6.748704195,-0.1435452923,
8.115622997,-1.523107168,6.928356171,-0.1441896223,
8.323194981,-1.222867344,7.10803318,-0.1448340416,
8.535020113,-0.9871068848,7.287619114,-0.145478135,
8.749579191,-0.6139232227,7.466926098,-0.1461212272,
8.956773996,-0.3816481348,7.646344185,-0.146764718,
9.163361073,-0.1155151563,7.825531006,-0.147407379,
9.370393038,0.6393166406,8.004801989,-0.1480503427,
9.579510212,1.200959297,8.199278116,-0.14874784,
9.785970211,1.400372314,8.378779173,-0.1493916279,
9.99320507,1.430246924,8.558004141,-0.1500344258,
10.200109,1.310748486,8.737650156,-0.1506787343,
10.40696311,1.075485937,8.917396069,-0.1513234014,
10.61378217,0.9126693164,9.09753418,-0.1519694738,
10.82101011,0.6784025879,9.277124166,-0.1526135812,
11.02858615,0.2623986523,9.456809998,-0.1532580331,
11.23987412,0.1068017285,9.636475086,-0.1539024096,
11.45187211,-0.03286207031,9.830765009,-0.1545992391,
11.66469598,-0.09933307617,10.01162815,-0.1552479118,
11.88660812,-0.2658840234,10.19536114,-0.1559068784,
12.09952617,-1.261455381,10.37586999,-0.1565542817,
12.310184,-2.093712207,10.55568409,-0.1571991928,
12.51809907,-2.337688184,10.73568416,-0.1578447707,
12.73229504,-3.037500908,10.91553521,-0.158489815,
12.9601481,-2.900575615,11.09545922,-0.15913512,
13.16846514,-2.430050518,11.275913,-0.1597823249,
13.37698507,-1.846001904,11.45588112,-0.1604277892,
13.58746099,-1.334399219,11.63580704,-0.1610731008,
13.79729509,-1.090174287,11.81560922,-0.161717969,
14.00653815,-0.6328438086,11.99539304,-0.162362772,
14.21346307,-0.4160039355,12.17525816,-0.1630078657,
14.42121816,-0.1316972363,12.355093,-0.1636528512,
14.63280416,0.03908594727,12.53584099,-0.1643011123,
14.84925818,0.8427129395,12.715626,-0.1649459191,
15.05844712,1.191250049,12.89547014,-0.1655909382,
15.26729107,1.354813535,13.07534909,-0.1662360812,
15.47709203,1.360041592,13.25509405,-0.1668807445,
15.68799806,1.173325283,13.43633699,-0.1675307807,
15.89778709,0.994077627,13.62825203,-0.1682190923,
16.10716319,0.7891875977,13.80803919,-0.1688639065,
16.3171711,0.4595710742,13.98739314,-0.1695071673,
16.52705002,0.1722769141,14.16692209,-0.1701510558,
16.73689699,0.1354315625,14.34624505,-0.1707942057,
16.94995904,0.02862983398,14.52570319,-0.17143784,
17.16021705,-0.1234817187,14.7062211,-0.1720852759,
17.36909699,-1.139218437,14.88554406,-0.1727284249,
17.57817006,-2.112383838,15.06499815,-0.1733720452,
17.78722715,-2.4046571,15.24464512,-0.1740163565,
17.99664211,-2.497766299,15.42425013,-0.1746605178,
18.20584011,-2.301838652,15.61704016,-0.175351968,
18.415236,-2.058360586,15.79899001,-0.1760045392,
18.62456512,-1.7673321,15.97954607,-0.1766521111,
18.83407021,-1.313238037,16.15935516,-0.1772970045,
19.04125714,-1.0025421,16.34141016,-0.1779499529,
19.24961209,-0.6901034766,16.52126408,-0.1785950065,
19.4558022,-0.3253842871,16.70134401,-0.1792408712,
19.66228819,-0.06398145508,16.88136721,-0.179886532,
19.86915016,0.375922168,17.06164908,-0.1805331213,
20.07596898,0.917648418,17.24140811,-0.181177835,
20.28304601,1.283114473,17.42137909,-0.1818233086,
20.49014711,1.396389033,17.60153413,-0.1824694425,
20.69979,1.282865518,17.78105617,-0.1831133058,
20.90954804,1.164860811,17.97336507,-0.1838030303,
21.119344,0.9104287207,18.15365005,-0.1844496299,
21.32960415,0.6716808008,18.33339405,-0.1850942904,
21.54021001,0.4448827246,18.52598715,-0.1857850337,
21.75071311,0.1092912793,18.70507717,-0.1864273474,
21.96075916,0.02564237305,18.88524413,-0.1870735241,
22.17106009,-0.02663819336,19.06441021,-0.1877161115,
22.38111711,-0.05302743164,19.24397206,-0.1883601183,
22.59342909,-0.1799945215,19.42310905,-0.1890026005,
22.80445409,-1.380206953,19.60272408,-0.1896467973,
23.01503301,-2.328725801,19.78207111,-0.1902900338,
23.22573018,-2.876924883,19.96147013,-0.1909334557,
23.43652201,-2.687470068,20.14108014,-0.1915776357,
23.64659905,-2.241591523,20.32057905,-0.1922214162,
23.85654712,-1.824342812,20.49983406,-0.1928643221,
24.06849408,-1.297553867,20.67931509,-0.1935080383,
