dp 	 flow1587686776.271018 	 -0.026140 	 0.931716
1587686776.498338 	 -0.045808 	 0.931528
1587686776.594936 	 -0.072197 	 0.931153
1587686776.682438 	 -0.023900 	 0.931153
1587686776.747595 	 0.047053 	 0.930591
1587686776.837404 	 0.032364 	 0.930966
1587686776.904858 	 -0.002987 	 0.930966
1587686776.972414 	 -0.025393 	 0.930778
1587686777.040017 	 -0.039833 	 0.930591
1587686777.107773 	 -0.009709 	 0.931341
1587686777.177135 	 -0.029377 	 0.931528
1587686777.246596 	 -0.036845 	 0.931341
1587686777.313289 	 -0.016431 	 0.930591
1587686777.380484 	 0.014937 	 0.932466
1587686777.470281 	 -0.022157 	 0.931341
1587686777.539444 	 0.001494 	 0.930778
1587686777.608653 	 -0.022655 	 0.930216
1587686777.677816 	 -0.036098 	 0.931153
1587686777.748336 	 -0.028630 	 0.931903
1587686777.819606 	 -0.046804 	 0.931341
1587686777.889709 	 -0.064977 	 0.930778
1587686777.960928 	 -0.017427 	 0.931903
1587686778.032147 	 0.018174 	 0.932278
1587686778.103535 	 -0.015933 	 0.931528
1587686778.176301 	 0.002739 	 0.933028
1587686778.272195 	 -0.005726 	 0.931716
1587686778.347221 	 -0.055019 	 0.932091
1587686778.427609 	 -0.049542 	 0.930591
1587686778.503715 	 -0.039086 	 0.931716
1587686778.579685 	 -0.003485 	 0.932466
1587686778.668143 	 -0.048297 	 0.932841
1587686778.818383 	 0.003236 	 0.932653
1587686778.900821 	 -0.013941 	 0.932841
1587686778.985465 	 -0.054272 	 0.932091
1587686779.069519 	 -0.045559 	 0.931716
1587686779.148291 	 -0.042322 	 0.931903
1587686779.226630 	 -0.053027 	 0.933028
1587686779.305482 	 -0.061741 	 0.932841
1587686779.384592 	 -0.006722 	 0.932653
1587686779.463644 	 0.015684 	 0.934154
1587686779.567159 	 -0.032364 	 0.936966
1587686779.671524 	 -0.031617 	 0.936966
1587686779.750880 	 -0.042820 	 0.938279
1587686779.853768 	 -0.035850 	 0.936966
1587686779.933984 	 -0.088379 	 0.935091
1587686780.038776 	 -0.029875 	 0.932091
1587686780.120088 	 -0.026389 	 0.930966
1587686780.201821 	 0.002490 	 0.930778
1587686780.285049 	 0.010705 	 0.930966
1587686780.367617 	 0.019418 	 0.932278
1587686780.449699 	 0.005477 	 0.933028
1587686780.532661 	 -0.059998 	 0.931716
1587686780.615664 	 -0.049791 	 0.931528
1587686780.686068 	 0.107798 	 0.949904
1587686780.801722 	 0.490193 	 0.997155
1587686780.912177 	 0.134436 	 0.966780
1587686780.982166 	 0.244474 	 0.960592
1587686781.053297 	 0.443887 	 0.957217
1587686781.124631 	 0.357002 	 0.954592
1587686781.195800 	 0.428701 	 0.947841
1587686781.267683 	 0.576082 	 0.943154
1587686781.365022 	 0.700809 	 0.936591
1587686781.461917 	 0.853418 	 0.931341
1587686781.557706 	 0.942544 	 0.924778
1587686781.667713 	 1.099635 	 0.917653
1587686781.779677 	 1.138969 	 0.920278
1587686781.874520 	 1.217390 	 0.921403
1587686781.970171 	 1.178055 	 0.921216
1587686782.042207 	 1.372987 	 0.919903
1587686782.140665 	 1.396887 	 0.921403
1587686782.238621 	 0.493429 	 0.920091
1587686782.312001 	 0.490939 	 0.923466
1587686782.385465 	 0.700311 	 0.921591
